id,condition,angle,rt,accuracy,trial
1,allocentric,-90,747,1,62
1,allocentric,-135,1024,1,63
1,allocentric,-45,564,1,64
1,allocentric,180,1281,1,65
1,allocentric,-90,1230,1,66
1,allocentric,-45,698,1,67
1,allocentric,135,783,0,68
1,allocentric,135,965,1,69
1,allocentric,180,2071,1,70
1,allocentric,-45,1570,1,71
1,allocentric,-45,1588,1,72
1,allocentric,0,1015,1,73
1,allocentric,-135,1281,1,74
1,allocentric,90,1283,1,75
1,allocentric,45,869,1,76
1,allocentric,135,2065,1,77
1,allocentric,45,1322,1,78
1,allocentric,180,2331,1,79
1,allocentric,-135,1375,1,80
1,allocentric,45,1288,1,81
1,allocentric,-135,1016,1,82
1,allocentric,135,1508,1,83
1,allocentric,-45,1405,1,84
1,allocentric,180,2567,1,85
1,allocentric,180,1025,1,86
1,allocentric,45,1153,1,87
1,allocentric,-45,1531,1,88
1,allocentric,90,1086,1,89
1,allocentric,-45,1031,1,90
1,allocentric,0,949,1,91
1,allocentric,-90,1074,1,92
1,allocentric,90,1291,1,93
1,allocentric,-45,1321,1,94
1,allocentric,45,852,1,95
1,allocentric,-135,1781,1,96
1,allocentric,45,699,1,97
1,allocentric,135,2652,1,98
1,allocentric,-135,2531,1,99
1,allocentric,-90,1133,1,100
1,allocentric,90,1067,1,101
1,allocentric,135,1454,1,102
1,allocentric,0,1571,1,103
1,allocentric,90,872,1,104
1,allocentric,180,1085,1,105
1,allocentric,0,584,1,106
1,allocentric,90,1083,1,107
1,allocentric,180,1186,1,108
1,allocentric,45,1169,1,109
1,allocentric,135,1022,1,110
2,egocentric,135,864.09,1,0
2,egocentric,180,800.865,1,1
2,egocentric,-90,1418.14,1,2
2,egocentric,-90,751.675,1,3
2,egocentric,-135,917.615,1,4
2,egocentric,-90,1238.425,1,5
2,egocentric,90,1073.99,1,6
2,egocentric,135,1701.04,1,7
2,egocentric,-45,793.135,1,8
2,egocentric,45,1168.09,1,9
2,egocentric,-90,951.04,1,10
2,egocentric,180,840.145,1,11
2,egocentric,-90,982.915,1,12
2,egocentric,-90,1651.03,1,13
2,egocentric,90,974.81,1,14
2,egocentric,-90,954.915,1,15
2,egocentric,90,792.05,1,16
2,egocentric,-135,1801.67,1,17
2,egocentric,0,931.06,1,18
2,egocentric,90,984.065,1,19
2,egocentric,45,633.965,1,20
2,egocentric,135,1485.17,1,21
2,egocentric,45,637.64,1,22
2,egocentric,-135,1417.845,1,23
2,egocentric,135,1137.73,1,24
2,egocentric,45,702.955,1,25
2,egocentric,0,607.02,1,26
2,egocentric,-45,700.2,1,27
2,egocentric,-135,940.04,1,28
2,egocentric,-45,587.735,1,29
2,egocentric,135,1016.21,1,30
2,egocentric,180,1003.55,1,31
2,egocentric,-45,786.025,1,32
2,egocentric,90,1167.395,1,33
2,egocentric,-135,1283.635,1,34
2,egocentric,-45,701.48,1,35
2,egocentric,180,1067.15,1,36
2,egocentric,-45,633.14,1,37
2,egocentric,45,702.06,1,38
2,egocentric,0,784.325,1,39
2,egocentric,90,1218.445,1,40
2,egocentric,135,1934.105,1,41
2,egocentric,90,1385.96,1,42
2,egocentric,0,785.285,1,43
2,egocentric,180,885.945,1,44
2,egocentric,0,750.435,1,45
2,egocentric,-90,857.68,1,46
2,egocentric,45,1052.09,1,47
2,egocentric,45,630.36,1,48
2,egocentric,135,638.385,1,49
2,egocentric,180,1134.03,1,50
2,egocentric,90,684.93,1,51
