cue,direction,practice_block_loop.thisRepN,practice_block_loop.thisTrialN,practice_block_loop.thisN,practice_block_loop.thisIndex,main_blocks_loop.thisRepN,main_blocks_loop.thisTrialN,main_blocks_loop.thisN,main_blocks_loop.thisIndex,static_isi.started,static_isi.stopped,fixation_pre.started,fixation_pre.stopped,image.started,image.stopped,fixation_post.started,fixation_post.stopped,dots_background.started,dots_background.stopped,dots_stimulus.started,dots_stimulus.stopped,dots_keyboard_response.keys,dots_keyboard_response.started,dots_keyboard_response.stopped,feedback_text.started,feedback_text.stopped,dots_keyboard_response.rt,instruction_main_text.started,instruction_main_text.stopped,instruction_main_keyboard_response.keys,instruction_main_keyboard_response.rt,instruction_main_keyboard_response.started,instruction_main_keyboard_response.stopped,Pseudonym,date,expName,psychopyVersion,frameRate
right,right,,,,,0,14,14,20,0.03210262,2.03210262,218.2849525,None,218.6542005,None,219.6856311,None,223.6924578,None,223.6924578,None,j,223.6924578,None,224.7537663,None,1.017662187,,,,,,,ZZ,2022_Mar_07_1403,rdk-discrimination,03.02.21,59.9
none,right,,,,,0,15,15,61,0.032047503,2.032047503,227.2225648,None,228.4246859,None,229.4568681,None,233.9635768,None,233.9635768,None,j,233.9635768,None,235.1462715,None,1.121100302,,,,,,,ZZ,2022_Mar_07_1403,rdk-discrimination,03.02.21,59.9
left,left,,,,,0,16,16,12,0.03211836,2.03211836,237.644113,None,238.0129707,None,239.0113724,None,242.4178374,None,242.4178374,None,f,242.4178374,None,243.5524595,None,1.078699043,,,,,,,ZZ,2022_Mar_07_1403,rdk-discrimination,03.02.21,59.9
right,left,,,,,0,17,17,37,0.032078964,2.032078964,246.0481766,None,247.2506864,None,248.2825747,None,251.6887995,None,251.6887995,None,f,251.6887995,None,252.3844834,None,0.643269042,,,,,,,ZZ,2022_Mar_07_1403,rdk-discrimination,03.02.21,59.9
right,right,,,,,0,18,18,28,0.032114915,2.032114915,254.8523947,None,255.2215607,None,256.2528265,None,260.7593493,None,260.7593493,None,j,260.7593493,None,261.5221631,None,0.716254779,,,,,,,ZZ,2022_Mar_07_1403,rdk-discrimination,03.02.21,59.9
left,left,,,,,0,19,19,0,0.032076548,2.032076548,263.9900397,None,264.3592336,None,265.3905725,None,269.3971988,None,269.3971988,None,f,269.3971988,None,270.0442288,None,0.578255024,,,,,,,ZZ,2022_Mar_07_1403,rdk-discrimination,03.02.21,59.9
right,left,,,,,0,20,20,38,0.032079765,2.032079765,272.5441129,None,273.7469069,None,274.7783569,None,279.2849635,None,279.2849635,None,f,279.2849635,None,280.017546,None,0.679854193,,,,,,,ZZ,2022_Mar_07_1403,rdk-discrimination,03.02.21,59.9
right,right,,,,,0,21,21,21,0.032132142,2.032132142,282.5154249,None,282.8818014,None,283.8810182,None,288.8898614,None,288.8898614,None,j,288.8898614,None,289.9856586,None,1.060542012,,,,,,,ZZ,2022_Mar_07_1403,rdk-discrimination,03.02.21,59.9
none,left,,,,,0,22,22,58,0.032128871,2.032128871,292.4536192,None,292.8223318,None,293.8538781,None,298.3608024,None,298.3608024,None,f,298.3608024,None,299.2747759,None,0.84646312,,,,,,,ZZ,2022_Mar_07_1403,rdk-discrimination,03.02.21,59.9
right,right,,,,,0,23,23,24,0.032085304,2.032085304,301.774558,None,301.8768512,None,302.9084199,None,307.4152274,None,307.4152274,None,f,307.4152274,None,308.1108575,None,0.651728339,,,,,,,ZZ,2022_Mar_07_1403,rdk-discrimination,03.02.21,59.9
none,right,,,,,0,24,24,65,0.032076803,2.032076803,310.578692,None,311.3811278,None,312.4129831,None,316.9194318,None,316.9194318,None,j,316.9194318,None,317.8987388,None,0.933256925,,,,,,,ZZ,2022_Mar_07_1403,rdk-discrimination,03.02.21,59.9
right,right,,,,,0,25,25,25,0.03200529,2.03200529,320.3667908,None,320.4691338,None,321.5005997,None,326.0073167,None,326.0073167,None,j,326.0073167,None,326.7863661,None,0.703112349,,,,,,,ZZ,2022_Mar_07_1403,rdk-discrimination,03.02.21,59.9
none,right,,,,,0,26,26,63,0.032089013,2.032089013,329.2541829,None,330.0563422,None,331.088546,None,334.4945613,None,334.4945613,None,j,334.4945613,None,335.2127758,None,0.662460422,,,,,,,ZZ,2022_Mar_07_1403,rdk-discrimination,03.02.21,59.9
left,left,,,,,0,27,27,10,0.032119293,2.032119293,337.7083197,None,338.076089,None,339.0754269,None,342.4818144,None,342.4818144,None,f,342.4818144,None,343.1276182,None,0.598635577,,,,,,,ZZ,2022_Mar_07_1403,rdk-discrimination,03.02.21,59.9
none,left,,,,,0,28,28,43,0.032092195,2.032092195,345.5940667,None,346.7973788,None,347.7963821,None,351.2025718,None,351.2025718,None,f,351.2025718,None,351.9315446,None,0.65889914,,,,,,,ZZ,2022_Mar_07_1403,rdk-discrimination,03.02.21,59.9
none,left,,,,,0,29,29,53,0.032117248,2.032117248,354.3995414,None,354.768322,None,355.800378,None,360.8065484,None,360.8065484,None,f,360.8065484,None,361.5194643,None,0.649746642,,,,,,,ZZ,2022_Mar_07_1403,rdk-discrimination,03.02.21,59.9
none,left,,,,,0,30,30,55,0.03203913,2.03203913,363.9860795,None,365.1864451,None,366.2203339,None,371.2284742,None,371.2284742,None,f,371.2284742,None,371.8931459,None,0.62386319,,,,,,,ZZ,2022_Mar_07_1403,rdk-discrimination,03.02.21,59.9
left,right,,,,,0,31,31,33,0.032079619,2.032079619,374.3923794,None,374.4945216,None,375.5261988,None,379.5327904,None,379.5327904,None,j,379.5327904,None,380.5141303,None,0.943708244,,,,,,,ZZ,2022_Mar_07_1403,rdk-discrimination,03.02.21,59.9
none,left,,,,,0,32,32,52,0.032073084,2.032073084,383.0129624,None,383.3807745,None,384.4137595,None,389.420657,None,389.420657,None,f,389.420657,None,390.1164903,None,0.649637503,,,,,,,ZZ,2022_Mar_07_1403,rdk-discrimination,03.02.21,59.9
left,left,,,,,0,33,33,2,0.031977589,2.031977589,392.5843127,None,392.953689,None,393.9849002,None,397.3913179,None,397.3913179,None,f,397.3913179,None,398.0868483,None,0.61904367,,,,,,,ZZ,2022_Mar_07_1403,rdk-discrimination,03.02.21,59.9
none,left,,,,,0,34,34,46,0.032087411,2.032087411,400.5542396,None,401.3572067,None,402.3888871,None,407.3959299,None,407.3959299,None,j,407.3959299,None,408.2083217,None,0.758162087,,,,,,,ZZ,2022_Mar_07_1403,rdk-discrimination,03.02.21,59.9
none,left,,,,,0,35,35,54,0.031954805,2.031954805,410.6762032,None,411.4780536,None,412.5104172,None,416.516719,None,416.516719,None,j,416.516719,None,417.4460187,None,0.861261804,,,,,,,ZZ,2022_Mar_07_1403,rdk-discrimination,03.02.21,59.9
none,left,,,,,0,36,36,48,0.032075915,2.032075915,419.9137723,None,420.7163948,None,421.7480018,None,426.2549551,None,426.2549551,None,f,426.2549551,None,427.300527,None,0.962486087,,,,,,,ZZ,2022_Mar_07_1403,rdk-discrimination,03.02.21,59.9
none,right,,,,,0,37,37,60,0.032131774,2.032131774,429.7685366,None,429.8704841,None,430.9024555,None,434.3090843,None,434.3090843,None,j,434.3090843,None,435.3044794,None,0.926042726,,,,,,,ZZ,2022_Mar_07_1403,rdk-discrimination,03.02.21,59.9
right,right,,,,,0,38,38,26,0.031929879,2.031929879,437.7726444,None,438.9750856,None,440.0068159,None,445.014033,None,445.014033,None,j,445.014033,None,445.7426841,None,0.65822774,,,,,,,ZZ,2022_Mar_07_1403,rdk-discrimination,03.02.21,59.9
left,left,,,,,0,39,39,11,0.031940444,2.031940444,448.2106677,None,449.0137367,None,450.0448613,None,454.0513334,None,454.0513334,None,f,454.0513334,None,454.7313101,None,0.62359245,,,,,,,ZZ,2022_Mar_07_1403,rdk-discrimination,03.02.21,59.9
left,right,,,,,0,40,40,34,0.032078764,2.032078764,457.1983238,None,458.0010692,None,459.0324164,None,463.0388021,None,463.0388021,None,f,463.0388021,None,463.5845561,None,0.483262897,,,,,,,ZZ,2022_Mar_07_1403,rdk-discrimination,03.02.21,59.9
right,left,,,,,0,41,41,36,0.032138379,2.032138379,466.0524111,None,466.8550338,None,467.8866061,None,472.3931416,None,472.3931416,None,f,472.3931416,None,473.2390918,None,0.778965843,,,,,,,ZZ,2022_Mar_07_1403,rdk-discrimination,03.02.21,59.9
right,right,,,,,0,42,42,27,0.032078015,2.032078015,475.7069836,None,476.9097715,None,477.9414577,None,481.3476924,None,481.3476924,None,j,481.3476924,None,482.076591,None,0.660985784,,,,,,,ZZ,2022_Mar_07_1403,rdk-discrimination,03.02.21,59.9
none,right,,,,,0,43,43,73,0.032074434,2.032074434,484.5446465,None,484.9130375,None,485.9452139,None,490.9523633,None,490.9523633,None,j,490.9523633,None,491.8312453,None,0.803061012,,,,,,,ZZ,2022_Mar_07_1403,rdk-discrimination,03.02.21,59.9
none,right,,,,,0,44,44,69,0.032107661,2.032107661,494.2981624,None,495.0978157,None,496.0999685,None,499.502552,None,499.502552,None,f,499.502552,None,500.5183635,None,0.968812779,,,,,,,ZZ,2022_Mar_07_1403,rdk-discrimination,03.02.21,59.9
