ID,group,type,count
12,deduction,N,4
13,deduction,Hits,4
13,deduction,FA,0
13,deduction,Miss,0
13,deduction,CR,4
13,deduction,S,4
13,deduction,N,4
14,deduction,Hits,4
14,deduction,FA,0
14,deduction,Miss,0
14,deduction,CR,4
14,deduction,S,4
14,deduction,N,4
15,deduction,Hits,3
15,deduction,FA,2
15,deduction,Miss,1
15,deduction,CR,2
15,deduction,S,4
15,deduction,N,4
16,deduction,Hits,3
16,deduction,FA,0
16,deduction,Miss,1
16,deduction,CR,4
16,deduction,S,4
16,deduction,N,4
17,deduction,Hits,3
17,deduction,FA,1
17,deduction,Miss,1
17,deduction,CR,3
17,deduction,S,4
17,deduction,N,4
18,deduction,Hits,2
18,deduction,FA,1
18,deduction,Miss,2
18,deduction,CR,3
18,deduction,S,4
18,deduction,N,4
19,deduction,Hits,4
19,deduction,FA,4
19,deduction,Miss,0
19,deduction,CR,0
19,deduction,S,4
19,deduction,N,4
20,deduction,Hits,4
20,deduction,FA,2
20,deduction,Miss,0
20,deduction,CR,2
20,deduction,S,4
20,deduction,N,4
21,deduction,Hits,4
21,deduction,FA,1
21,deduction,Miss,0
21,deduction,CR,3
21,deduction,S,4
21,deduction,N,4
22,deduction,Hits,2
22,deduction,FA,0
22,deduction,Miss,2
22,deduction,CR,4
22,deduction,S,4
22,deduction,N,4
23,deduction,Hits,4
23,deduction,FA,0
23,deduction,Miss,0
23,deduction,CR,4
23,deduction,S,4
23,deduction,N,4
24,deduction,Hits,3
24,deduction,FA,0
24,deduction,Miss,1
24,deduction,CR,4
24,deduction,S,4
24,deduction,N,4
25,deduction,Hits,4
25,deduction,FA,0
25,deduction,Miss,0
25,deduction,CR,4
25,deduction,S,4
25,deduction,N,4
26,deduction,Hits,3
26,deduction,FA,0
26,deduction,Miss,1
26,deduction,CR,4
26,deduction,S,4
26,deduction,N,4
27,deduction,Hits,4
27,deduction,FA,0
27,deduction,Miss,0
27,deduction,CR,4
27,deduction,S,4
27,deduction,N,4
28,deduction,Hits,3
28,deduction,FA,4
28,deduction,Miss,1
28,deduction,CR,0
28,deduction,S,4
28,deduction,N,4
29,deduction,Hits,1
29,deduction,FA,3
29,deduction,Miss,3
29,deduction,CR,1
29,deduction,S,4
29,deduction,N,4
30,deduction,Hits,4
30,deduction,FA,4
30,deduction,Miss,0
30,deduction,CR,0
30,deduction,S,4
30,deduction,N,4
31,deduction,Hits,4
31,deduction,FA,4
