cue,direction,practice_block_loop.thisRepN,practice_block_loop.thisTrialN,practice_block_loop.thisN,practice_block_loop.thisIndex,main_blocks_loop.thisRepN,main_blocks_loop.thisTrialN,main_blocks_loop.thisN,main_blocks_loop.thisIndex,static_isi.started,static_isi.stopped,fixation_pre.started,fixation_pre.stopped,image.started,image.stopped,fixation_post.started,fixation_post.stopped,dots_background.started,dots_background.stopped,dots_stimulus.started,dots_stimulus.stopped,dots_keyboard_response.keys,dots_keyboard_response.started,dots_keyboard_response.stopped,feedback_text.started,feedback_text.stopped,dots_keyboard_response.rt,instruction_main_text.started,instruction_main_text.stopped,instruction_main_keyboard_response.keys,instruction_main_keyboard_response.rt,instruction_main_keyboard_response.started,instruction_main_keyboard_response.stopped,Pseudonym,date,expName,psychopyVersion,frameRate,
none,left,,,,,0,10,10,40,0.03203083600055834,2.0320308360005583,181.26724231000026,None,182.46983190500032,None,183.50168878700015,None,186.90811051300034,None,186.90811051300034,None,f,186.90811051300034,None,188.291618233,None,1.3487436020000132,,,,,,,JH,2022_Mar_07_1403,rdk-discrimination,2021.2.3,29.96142322942526,
left,left,,,,,0,11,11,1,0.032111863999944035,2.032111863999944,190.78857288200015,None,191.15804766200017,None,192.18932863200007,None,197.1964212310004,None,197.1964212310004,None,f,197.1964212310004,None,197.95863618500016,None,0.6875616349998381,,,,,,,JH,2022_Mar_07_1403,rdk-discrimination,2021.2.3,29.96142322942526,
left,left,,,,,0,12,12,3,0.03211375000000771,2.0321137500000077,200.42601839000008,None,201.6291309620001,None,202.66092276900008,None,206.66748231300016,None,206.66748231300016,None,f,206.66748231300016,None,207.463132502,None,0.7210003919999508,,,,,,,JH,2022_Mar_07_1403,rdk-discrimination,2021.2.3,29.96142322942526,
none,left,,,,,0,13,13,47,0.032063590999769076,2.032063590999769,209.93100310700038,None,210.03288294200001,None,211.06470109300017,None,215.0713867190002,None,215.0713867190002,None,f,215.0713867190002,None,215.78680281000015,None,0.6548104700000295,,,,,,,JH,2022_Mar_07_1403,rdk-discrimination,2021.2.3,29.96142322942526,
right,right,,,,,0,14,14,20,0.03210261999993236,2.0321026199999324,218.2849524600001,None,218.6542005450001,None,219.68563112200036,None,223.69245775300033,None,223.69245775300033,None,j,223.69245775300033,None,224.75376632300004,None,1.0176621870000417,,,,,,,JH,2022_Mar_07_1403,rdk-discrimination,2021.2.3,29.96142322942526,
none,right,,,,,0,15,15,61,0.03204750299983061,2.0320475029998306,227.22256481700015,None,228.42468588200018,None,229.45686811500036,None,233.96357680500023,None,233.96357680500023,None,j,233.96357680500023,None,235.14627151500008,None,1.1211003019998316,,,,,,,JH,2022_Mar_07_1403,rdk-discrimination,2021.2.3,29.96142322942526,
left,left,,,,,0,16,16,12,0.03211835999991308,2.032118359999913,237.64411303400038,None,238.01297067400037,None,239.0113724470002,None,242.41783742300004,None,242.41783742300004,None,f,242.41783742300004,None,243.55245948300035,None,1.0786990429996877,,,,,,,JH,2022_Mar_07_1403,rdk-discrimination,2021.2.3,29.96142322942526,
right,left,,,,,0,17,17,37,0.03207896399999299,2.032078963999993,246.04817663700032,None,247.2506864320003,None,248.28257471100005,None,251.6887994900003,None,251.6887994900003,None,f,251.6887994900003,None,252.3844833600001,None,0.6432690420001563,,,,,,,JH,2022_Mar_07_1403,rdk-discrimination,2021.2.3,29.96142322942526,
right,right,,,,,0,18,18,28,0.0321149149995108,2.032114914999511,254.8523947040003,None,255.22156073900032,None,256.25282652800024,None,260.7593492740002,None,260.7593492740002,None,j,260.7593492740002,None,261.5221630830001,None,0.7162547789998825,,,,,,,JH,2022_Mar_07_1403,rdk-discrimination,2021.2.3,29.96142322942526,
left,left,,,,,0,19,19,0,0.03207654799962256,2.0320765479996226,263.9900396570001,None,264.3592336070001,None,265.39057245699996,None,269.3971988100002,None,269.3971988100002,None,f,269.3971988100002,None,270.0442288000004,None,0.5782550239996453,,,,,,,JH,2022_Mar_07_1403,rdk-discrimination,2021.2.3,29.96142322942526,
right,left,,,,,0,20,20,38,0.0320797650001623,2.0320797650001623,272.54411290999997,None,273.74690694400033,None,274.77835687900006,None,279.284963523,None,279.284963523,None,f,279.284963523,None,280.01754602200026,None,0.6798541930002102,,,,,,,JH,2022_Mar_07_1403,rdk-discrimination,2021.2.3,29.96142322942526,
right,right,,,,,0,21,21,21,0.03213214199968206,2.032132141999682,282.5154249360003,None,282.88180135500033,None,283.88101816300014,None,288.8898614100003,None,288.8898614100003,None,j,288.8898614100003,None,289.9856585700004,None,1.0605420120000417,,,,,,,JH,2022_Mar_07_1403,rdk-discrimination,2021.2.3,29.96142322942526,
none,left,,,,,0,22,22,58,0.0321288709997134,2.0321288709997134,292.4536191540001,None,292.8223317740003,None,293.8538781020002,None,298.36080244799996,None,298.36080244799996,None,f,298.36080244799996,None,299.27477587500016,None,0.846463119999953,,,,,,,JH,2022_Mar_07_1403,rdk-discrimination,2021.2.3,29.96142322942526,
right,right,,,,,0,23,23,24,0.03208530400024756,2.0320853040002476,301.7745580310002,None,301.87685116600005,None,302.908419891,None,307.4152273630002,None,307.4152273630002,None,f,307.4152273630002,None,308.1108575350004,None,0.6517283389998738,,,,,,,JH,2022_Mar_07_1403,rdk-discrimination,2021.2.3,29.96142322942526,
none,right,,,,,0,24,24,65,0.032076803000109066,2.032076803000109,310.578692049,None,311.3811277640002,None,312.41298314799997,None,316.9194318130003,None,316.9194318130003,None,j,316.9194318130003,None,317.89873879200013,None,0.9332569250000233,,,,,,,JH,2022_Mar_07_1403,rdk-discrimination,2021.2.3,29.96142322942526,
