trial,ID,cue,direction,response,rt,choice,correct,condition,mean_C,sd_C,trial_type
733,jon,right,right,1,0.5352370000327937,right,1,valid,0.7345113326619624,0.2437698370620411,OK
734,jon,left,left,0,0.579372100008186,left,1,valid,0.7345113326619624,0.2437698370620411,OK
735,jon,right,right,1,0.4904207000508905,right,1,valid,0.7345113326619624,0.2437698370620411,OK
736,jon,left,left,0,0.4010905000031926,left,1,valid,0.7345113326619624,0.2437698370620411,OK
737,jon,none,right,1,0.9028808999573812,right,1,neutral,0.7716613956494428,0.2299563121835134,OK
738,jon,none,right,1,0.6472786999656819,right,1,neutral,0.7716613956494428,0.2299563121835134,OK
739,jon,left,left,0,0.6485714000300504,left,1,valid,0.7345113326619624,0.2437698370620411,OK
740,jon,none,left,0,0.6997425999725237,left,1,neutral,0.7716613956494428,0.2299563121835134,OK
741,jon,none,right,1,0.6504958999576047,right,1,neutral,0.7716613956494428,0.2299563121835134,OK
742,jon,none,right,1,0.4309915999765508,right,1,neutral,0.7716613956494428,0.2299563121835134,OK
743,jon,left,left,0,0.4680200999719091,left,1,valid,0.7345113326619624,0.2437698370620411,OK
744,jon,none,right,1,0.5121419000206515,right,1,neutral,0.7716613956494428,0.2299563121835134,OK
745,jon,left,left,1,0.7769763999967836,right,0,valid,0.7345113326619624,0.2437698370620411,OK
746,jon,left,left,0,0.6481288999784738,left,1,valid,0.7345113326619624,0.2437698370620411,OK
747,jon,none,left,1,0.6326154000125825,right,0,neutral,0.7716613956494428,0.2299563121835134,OK
748,jon,right,right,1,0.753509700007271,right,1,valid,0.7345113326619624,0.2437698370620411,OK
749,jon,none,right,1,0.6581664999830537,right,1,neutral,0.7716613956494428,0.2299563121835134,OK
750,jon,none,right,1,0.5924967000028118,right,1,neutral,0.7716613956494428,0.2299563121835134,OK
751,jon,right,right,1,0.5034604999818839,right,1,valid,0.7345113326619624,0.2437698370620411,OK
752,jon,none,left,0,0.5981279999832623,left,1,neutral,0.7716613956494428,0.2299563121835134,OK
753,jon,none,right,1,0.628861200006213,right,1,neutral,0.7716613956494428,0.2299563121835134,OK
754,jon,right,left,1,0.6053011000039987,right,0,invalid,0.7537437478937564,0.24844249026586113,OK
755,jon,right,right,1,0.6598647000500932,right,1,valid,0.7345113326619624,0.2437698370620411,OK
756,jon,none,left,0,0.487390200025402,left,1,neutral,0.7716613956494428,0.2299563121835134,OK
757,jon,none,left,0,0.6186269000172615,left,1,neutral,0.7716613956494428,0.2299563121835134,OK
758,jon,none,right,1,0.5167193000088446,right,1,neutral,0.7716613956494428,0.2299563121835134,OK
759,jon,left,right,1,0.7109103000257164,right,1,invalid,0.7537437478937564,0.24844249026586113,OK
760,jon,left,right,1,0.6254112999886274,right,1,invalid,0.7537437478937564,0.24844249026586113,OK
761,jon,left,left,0,0.44313339999644086,left,1,valid,0.7345113326619624,0.2437698370620411,OK
762,jon,left,right,1,0.5535069999750704,right,1,invalid,0.7537437478937564,0.24844249026586113,OK
763,jon,none,right,1,0.8281070999801159,right,1,neutral,0.7716613956494428,0.2299563121835134,OK
764,jon,left,left,0,0.5954274000250734,left,1,valid,0.7345113326619624,0.2437698370620411,OK
765,jon,none,right,1,0.5863925999728963,right,1,neutral,0.7716613956494428,0.2299563121835134,OK
766,jon,none,right,1,0.6068363999947906,right,1,neutral,0.7716613956494428,0.2299563121835134,OK
767,jon,right,right,1,0.541474100027699,right,1,valid,0.7345113326619624,0.2437698370620411,OK
768,jon,none,right,1,0.46229250001488253,right,1,neutral,0.7716613956494428,0.2299563121835134,OK
769,jon,none,left,0,0.7766399000538513,left,1,neutral,0.7716613956494428,0.2299563121835134,OK
770,jon,none,left,1,0.5046603999799117,right,0,neutral,0.7716613956494428,0.2299563121835134,OK
771,jon,none,left,1,0.652213399996981,right,0,neutral,0.7716613956494428,0.2299563121835134,OK
772,jon,none,left,0,0.6566109000123106,left,1,neutral,0.7716613956494428,0.2299563121835134,OK
773,jon,none,left,0,0.8146018999977969,left,1,neutral,0.7716613956494428,0.2299563121835134,OK
774,jon,none,left,0,0.8585899000172503,left,1,neutral,0.7716613956494428,0.2299563121835134,OK
775,jon,right,left,0,0.7526553999632597,left,1,invalid,0.7537437478937564,0.24844249026586113,OK
776,jon,right,right,1,0.6370736000244506,right,1,valid,0.7345113326619624,0.2437698370620411,OK
777,jon,right,right,1,0.4578923999797553,right,1,valid,0.7345113326619624,0.2437698370620411,OK
778,jon,none,right,1,0.711615799984429,right,1,neutral,0.7716613956494428,0.2299563121835134,OK
779,jon,left,right,1,0.6955664999550208,right,1,invalid,0.7537437478937564,0.24844249026586113,OK
780,jon,none,right,1,0.6970142999780364,right,1,neutral,0.7716613956494428,0.2299563121835134,OK
781,jon,left,left,0,0.4183383000199683,left,1,valid,0.7345113326619624,0.2437698370620411,OK
782,jon,none,left,1,0.7720859000110067,right,0,neutral,0.7716613956494428,0.2299563121835134,OK
783,jon,right,right,1,0.6501864999881946,right,1,valid,0.7345113326619624,0.2437698370620411,OK
784,jon,right,right,1,0.7510829000384547,right,1,valid,0.7345113326619624,0.2437698370620411,OK
785,jon,left,left,0,0.5824399000266567,left,1,valid,0.7345113326619624,0.2437698370620411,OK
786,jon,none,right,1,0.579488399962429,right,1,neutral,0.7716613956494428,0.2299563121835134,OK
787,kaja,right,right,1,0.6324372999952175,right,1,valid,0.7345113326619624,0.2437698370620411,OK
788,kaja,none,left,0,0.6396278999745846,left,1,neutral,0.7716613956494428,0.2299563121835134,OK
789,kaja,none,left,0,0.7205393000040203,left,1,neutral,0.7716613956494428,0.2299563121835134,OK
790,kaja,none,right,1,0.857301699987147,right,1,neutral,0.7716613956494428,0.2299563121835134,OK
791,kaja,right,right,0,0.5822180000250228,left,0,valid,0.7345113326619624,0.2437698370620411,OK
792,kaja,left,left,0,0.6432157999952324,left,1,valid,0.7345113326619624,0.2437698370620411,OK
793,kaja,none,right,0,0.5974861999857239,left,0,neutral,0.7716613956494428,0.2299563121835134,OK
794,kaja,left,left,0,0.5320989000028931,left,1,valid,0.7345113326619624,0.2437698370620411,OK
795,kaja,none,right,1,0.552808600012213,right,1,neutral,0.7716613956494428,0.2299563121835134,OK
796,kaja,none,left,0,0.5269186999648809,left,1,neutral,0.7716613956494428,0.2299563121835134,OK
797,kaja,none,left,1,0.5251927999779582,right,0,neutral,0.7716613956494428,0.2299563121835134,OK
798,kaja,left,left,0,0.5065337000414729,left,1,valid,0.7345113326619624,0.2437698370620411,OK
799,kaja,none,right,0,0.5435926999780349,left,0,neutral,0.7716613956494428,0.2299563121835134,OK
800,kaja,right,right,0,0.4782314000185579,left,0,valid,0.7345113326619624,0.2437698370620411,OK
801,kaja,none,right,1,0.5150891999946907,right,1,neutral,0.7716613956494428,0.2299563121835134,OK
802,kaja,none,left,0,0.5120871000108309,left,1,neutral,0.7716613956494428,0.2299563121835134,OK
803,kaja,right,right,1,0.7976608999888413,right,1,valid,0.7345113326619624,0.2437698370620411,OK
804,kaja,none,right,0,0.7179015000001527,left,0,neutral,0.7716613956494428,0.2299563121835134,OK
805,kaja,left,left,0,0.4760041999979876,left,1,valid,0.7345113326619624,0.2437698370620411,OK
