trial,ID,cue,direction,response,rt,choice,correct,condition,mean_C,sd_C,trial_type
949,LB99,none,right,1,0.636393797933124,right,1,neutral,0.7716613956494428,0.2299563121835134,OK
950,LB99,none,left,1,0.687745861010626,right,0,neutral,0.7716613956494428,0.2299563121835134,OK
951,LB99,none,right,1,0.6520821849117056,right,1,neutral,0.7716613956494428,0.2299563121835134,OK
952,LB99,left,right,0,0.4183303180616349,left,0,invalid,0.7537437478937564,0.24844249026586113,OK
953,LB99,none,left,0,0.6770646279910579,left,1,neutral,0.7716613956494428,0.2299563121835134,OK
954,LB99,none,right,1,0.6010950009804219,right,1,neutral,0.7716613956494428,0.2299563121835134,OK
955,LB99,right,right,1,0.5182156349765137,right,1,valid,0.7345113326619624,0.2437698370620411,OK
956,LB99,none,right,1,0.7486434018937871,right,1,neutral,0.7716613956494428,0.2299563121835134,OK
957,LB99,none,right,1,0.6024678299436346,right,1,neutral,0.7716613956494428,0.2299563121835134,OK
958,LB99,none,right,1,0.7329548429697752,right,1,neutral,0.7716613956494428,0.2299563121835134,OK
959,LB99,none,right,1,0.7758656379301101,right,1,neutral,0.7716613956494428,0.2299563121835134,OK
960,LB99,left,right,1,0.5064549900125712,right,1,invalid,0.7537437478937564,0.24844249026586113,OK
961,LB99,none,left,0,0.5780984020093456,left,1,neutral,0.7716613956494428,0.2299563121835134,OK
962,LB99,right,left,0,0.9164115500170738,left,1,invalid,0.7537437478937564,0.24844249026586113,OK
963,LB99,none,right,1,0.9776066149352118,right,1,neutral,0.7716613956494428,0.2299563121835134,OK
964,LB99,left,left,0,0.6839279520791024,left,1,valid,0.7345113326619624,0.2437698370620411,OK
965,LB99,none,right,1,0.6349875350715593,right,1,neutral,0.7716613956494428,0.2299563121835134,OK
966,LB99,right,right,1,0.7171220830641687,right,1,valid,0.7345113326619624,0.2437698370620411,OK
