trial,ID,cue,direction,response,rt,choice,correct,condition
115,JH,none,right,1,0.7498310470000433,right,1,neutral
116,JH,right,right,1,0.7326113610001812,right,1,valid
117,JH,none,left,1,1.166571673999897,right,0,neutral
118,JH,none,right,1,0.626989968000089,right,1,neutral
119,JH,left,left,0,0.5573249199997008,left,1,valid
120,JH,left,left,0,0.5846937900000739,left,1,valid
121,JH,right,right,1,0.7994457529998726,right,1,valid
122,JH,left,left,0,0.4635100689997671,left,1,valid
123,JH,left,left,0,0.3647067070000958,left,1,valid
124,JH,left,left,1,1.043444991999877,right,0,valid
125,JH,none,left,1,0.9518795280000631,right,0,neutral
126,JH,right,right,1,0.7764137269996354,right,1,valid
127,JH,none,left,0,0.7031124229997658,left,1,neutral
128,JH,none,right,1,0.6997532460000002,right,1,neutral
129,JH,none,right,1,0.6946970079998209,right,1,neutral
130,JH,right,right,1,0.5358293929998581,right,1,valid
131,JH,left,left,0,0.7623919550001119,left,1,valid
132,JH,left,right,1,0.7385954249998576,right,1,invalid
133,JH,none,right,1,0.6936746780002068,right,1,neutral
134,JH,left,right,1,0.6672788270002457,right,1,invalid
135,JH,right,right,1,0.5385048039997855,right,1,valid
136,JH,none,left,0,0.694068729999799,left,1,neutral
137,JH,right,right,1,0.45816813999999795,right,1,valid
138,JH,none,left,0,0.600160735999907,left,1,neutral
139,JH,none,left,0,1.0247217259998251,left,1,neutral
140,JH,right,right,1,1.23286742900018,right,1,valid
141,JH,left,right,1,0.9009055099995747,right,1,invalid
142,JH,right,right,1,0.6720644359998005,right,1,valid
143,JH,right,left,0,0.7654356819998611,left,1,invalid
144,JH,none,left,0,1.122946469999988,left,1,neutral
145,JH,left,left,0,0.8072970329999407,left,1,valid
146,JH,left,left,0,0.570635274000324,left,1,valid
147,JH,right,left,0,NA,left,1,invalid
148,JH,none,right,1,0.4620501540002806,right,1,neutral
149,JH,left,left,0,0.7438599189999877,left,1,valid
150,JH,none,left,1,0.9957266930000516,right,0,neutral
151,JH,none,left,0,0.7808276169998862,left,1,neutral
152,JH,right,right,0,1.247689559000264,left,0,valid
153,JH,right,right,1,0.5627984089996971,right,1,valid
154,JH,none,right,1,0.6505981949999295,right,1,neutral
155,JH,none,right,1,0.6573763390001659,right,1,neutral
156,JH,left,right,0,1.0194931709997943,left,0,invalid
157,JH,right,right,1,0.7211674400000447,right,1,valid
158,JH,none,left,0,0.6102658550003071,left,1,neutral
159,JH,none,left,0,0.960512251000182,left,1,neutral
0,NS,right,right,1,0.8242111529999647,right,1,valid
1,NS,none,left,0,0.9583747470001072,left,1,neutral
2,NS,right,right,1,0.8871335149999595,right,1,valid
3,NS,none,right,1,1.2323268799999596,right,1,neutral
4,NS,none,right,1,1.3791126390000272,right,1,neutral
5,NS,none,left,0,NA,left,1,neutral
6,NS,left,left,0,0.822891201000175,left,1,valid
7,NS,none,right,1,0.733929198999931,right,1,neutral
8,NS,left,left,0,0.8055872850000014,left,1,valid
9,NS,left,left,0,1.1417450849999111,left,1,valid
10,NS,left,left,0,0.9262072030001036,left,1,valid
11,NS,none,left,1,0.8713565680000102,right,0,neutral
12,NS,none,right,1,0.99594437199994,right,1,neutral
13,NS,right,right,1,0.6785442739999326,right,1,valid
14,NS,left,right,1,1.0157437510001728,right,1,invalid
15,NS,left,left,0,0.6295738900000742,left,1,valid
16,NS,none,left,1,0.7786809379999795,right,0,neutral
17,NS,right,right,1,0.6022835199999008,right,1,valid
18,NS,left,left,0,1.2622835509998822,left,1,valid
19,NS,none,right,1,0.8442001959999743,right,1,neutral
20,NS,left,left,1,0.8242381380000552,right,0,valid
21,NS,none,left,1,0.8585876719998851,right,0,neutral
22,NS,right,right,1,0.73435070000005,right,1,valid
23,NS,none,right,1,0.9779655820000244,right,1,neutral
24,NS,none,left,1,1.2922858619999715,right,0,neutral
25,NS,right,right,1,0.7773790440000994,right,1,valid
26,NS,none,left,0,1.1613657850000436,left,1,neutral
27,NS,right,right,1,0.657835698000099,right,1,valid
28,NS,none,right,1,1.0309189580000293,right,1,neutral
29,NS,none,right,0,0.8664039489999595,left,0,neutral
30,NS,right,right,1,0.8249379510000381,right,1,valid
31,NS,none,left,0,0.7226598449999528,left,1,neutral
32,NS,left,left,1,0.6969222380000701,right,0,valid
33,NS,none,right,0,1.2761296779999611,left,0,neutral
34,NS,left,left,0,0.7354032590001225,left,1,valid
35,NS,none,left,1,0.7265014409999822,right,0,neutral
36,NS,right,left,0,0.920830813999828,left,1,invalid
37,NS,left,left,0,0.7151039370000944,left,1,valid
38,NS,none,left,0,1.0728663879999658,left,1,neutral
39,NS,none,right,1,0.7619627509998281,right,1,neutral
40,NS,right,right,1,0.739271601999917,right,1,valid
41,NS,none,left,0,0.8786064590001388,left,1,neutral
42,NS,none,left,1,0.8766843769999468,right,0,neutral
43,NS,none,right,1,0.6729649349999818,right,1,neutral
44,NS,none,right,1,0.7707760329999473,right,1,neutral
45,NS,left,right,1,0.990572985999961,right,1,invalid
46,NS,right,right,1,0.7061758349998399,right,1,valid
47,NS,right,right,1,0.7168488609997894,right,1,valid
48,NS,right,right,1,0.46664283199993406,right,1,valid
49,NS,right,right,1,0.6649116880000747,right,1,valid
50,NS,left,left,0,0.6779704439998113,left,1,valid
51,NS,left,left,1,0.6622263980000298,right,0,valid
52,NS,none,left,0,1.0031233880001764,left,1,neutral
53,NS,none,left,0,1.146827574000099,left,1,neutral
54,NS,none,left,1,1.0237117530000432,right,0,neutral
55,NS,right,left,0,0.8455802020000647,left,1,invalid
56,NS,none,left,0,1.0430512739999358,left,1,neutral
57,NS,right,right,1,0.6883388969999942,right,1,valid
58,NS,left,left,0,1.0161839889999555,left,1,valid
59,NS,none,right,1,0.8286123990001215,right,1,neutral
60,NS,none,right,1,0.7094849259999592,right,1,neutral
61,NS,left,right,1,0.8005397780000294,right,1,invalid
62,NS,right,right,1,0.646661019000021,right,1,valid
63,NS,left,right,1,1.0004639680000764,right,1,invalid
64,NS,left,left,0,1.0577406919999248,left,1,valid
65,NS,none,right,1,0.8668065940000815,right,1,neutral
66,NS,left,left,0,NA,left,1,valid
67,NS,none,left,0,0.8923251530000016,left,1,neutral
68,NS,none,left,1,0.6195467139998527,right,0,neutral
69,NS,none,left,1,0.839512035000098,right,0,neutral
70,NS,right,right,1,0.6190028769999572,right,1,valid
71,NS,none,right,1,0.6090400359998966,right,1,neutral
72,NS,none,right,1,0.9562810150000588,right,1,neutral
73,NS,none,right,1,0.6049474779999855,right,1,neutral
74,NS,right,left,1,0.5517201389998263,right,0,invalid
75,NS,right,left,0,0.8997846620000018,left,1,invalid
76,NS,left,left,1,0.8151953890001096,right,0,valid
77,NS,none,right,1,0.5849171499999102,right,1,neutral
78,NS,none,left,1,0.7331731639999362,right,0,neutral
79,NS,none,right,0,1.0356192340000234,left,0,neutral
80,NS,right,right,1,0.3888925229998677,right,1,valid
81,NS,left,left,0,0.7326033150000058,left,1,valid
82,NS,none,right,1,0.771181641999874,right,1,neutral
83,NS,left,left,0,0.547552153000197,left,1,valid
