subject,imagery,signal_present,correct,rt
1,1,1,1,0.711
1,1,1,0,1.288
1,1,0,1,0.464
1,1,0,1,0.7599999999995344
1,1,1,1,0.383
1,1,0,1,0.742
1,1,1,1,1.095
1,1,1,1,1.024
1,1,0,1,0.678
1,1,1,1,0.574
1,1,1,1,0.613
1,1,0,1,0.53
1,1,0,1,0.772
1,1,0,1,0.488
1,1,1,1,0.449
1,1,1,1,0.538
1,1,0,1,0.8540000000004656
1,1,1,1,0.454
1,1,1,0,1.418
1,1,0,1,0.418
1,1,1,1,1.217
1,1,0,1,0.643
1,1,0,1,1.326
1,1,0,1,0.6
1,0,1,1,0.422
1,0,0,1,0.51
1,0,1,0,0.625
1,0,1,0,1.2509999999995343
1,0,1,1,0.795
1,0,0,1,1.166
1,0,0,1,1.105
1,0,1,1,0.413
1,0,0,1,0.532
1,0,1,1,0.523
1,0,0,1,0.503
1,0,0,1,0.535
1,0,1,1,0.578
1,0,1,0,0.7809999999995343
1,0,0,1,0.4990000000004657
1,0,0,1,0.625
1,0,1,1,0.881
1,0,1,1,0.558
1,0,0,1,0.812
1,0,1,1,0.445
1,0,0,1,0.5109999999995344
1,0,1,1,0.493
1,0,0,1,0.667
1,0,0,1,0.606
1,1,1,1,0.782
1,1,1,1,1.065
1,1,1,1,0.981
1,1,1,1,0.96
1,1,1,1,1.111
1,1,0,1,0.446
1,1,1,0,1.1210000000004656
1,1,1,1,0.788
1,1,0,1,0.631
1,1,1,1,0.925
1,1,0,1,0.536
1,1,0,1,0.537
1,1,0,1,0.898
1,1,0,1,0.807
1,1,1,1,0.833
1,1,1,1,0.568
1,1,0,1,0.432
1,1,0,1,0.5099999999995344
1,1,1,1,0.63
1,1,0,1,0.47799999999953435
1,1,0,1,0.47600000000046566
1,1,0,1,0.7650000000004656
1,1,0,1,0.47
1,1,1,0,1.622
2,1,0,1,4.076
2,1,0,0,1.167
2,1,1,1,0.598
2,1,1,1,0.375
2,1,0,1,0.454
2,1,1,1,0.4100000000002328
2,1,1,1,0.37000000000023275
2,1,1,1,0.559
2,1,1,1,0.3250000000002328
2,1,1,1,0.313
2,1,0,1,0.27999999999976716
2,1,0,1,0.353
2,1,0,1,0.55
2,1,1,0,0.9460000000002329
2,1,1,1,0.73
2,1,1,1,0.331
2,1,1,1,0.353
2,1,0,1,0.981
2,1,0,1,0.502
2,1,0,1,0.582
2,1,0,1,0.313
2,1,0,1,0.339
2,1,0,1,0.407
2,1,1,1,0.37600000000023276
2,0,0,1,0.862
2,0,1,1,0.419
2,0,1,1,0.546
2,0,0,1,0.34
2,0,1,0,0.596
2,0,0,1,0.344
2,0,0,1,0.315
2,0,1,1,0.321
2,0,1,1,0.335
2,0,0,1,0.337
2,0,1,1,0.376
2,0,0,1,1.4539999999997673
2,0,1,1,0.332
2,0,1,1,0.375
2,0,1,1,0.581
2,0,1,1,0.5989999999997672
2,0,0,0,0.894
2,0,0,1,0.9480000000002329
2,0,0,1,0.688
2,0,1,0,2.277
2,0,0,1,0.44799999999976725
2,0,0,1,0.33199999999976715
2,0,1,1,0.266
2,0,0,0,0.556
2,1,0,1,1.759
2,1,1,1,0.35200000000023285
2,1,0,1,0.732
2,1,1,0,1.867
2,1,1,1,0.35399999999976717
2,1,1,1,0.322
2,1,0,1,0.36999999999976724
2,1,1,1,1.129
2,1,0,1,0.352
2,1,0,1,0.446
2,1,0,1,0.43300000000023275
2,1,0,1,0.8610000000002328
2,1,1,1,0.154
2,1,0,1,1.06
2,1,1,1,0.387
2,1,0,1,0.615
2,1,1,1,0.035
2,1,0,1,0.297
2,1,0,1,0.761
2,1,0,1,0.347
2,1,1,1,0.35800000000023285
2,1,1,1,1.0400000000002327
2,1,1,1,0.632
2,1,1,1,0.258
2,1,1,0,2.975
2,1,0,1,6.924
2,1,0,1,0.085
2,1,0,1,0.372
2,1,0,1,0.372
2,1,0,1,0.428
2,1,1,1,0.4079999999997672
2,1,1,1,1.446
2,1,1,1,0.407
2,1,1,1,0.462
2,1,0,1,3.349
2,1,0,1,17.853
2,1,1,1,0.43100000000023275
2,1,1,1,0.36600000000023275
2,1,1,0,0.393
2,1,1,0,1.103
2,1,1,1,0.496
2,1,1,0,0.846
2,1,0,1,0.946
2,1,0,1,0.403
2,1,0,1,0.321
2,1,0,1,0.033
2,1,0,1,0.307
2,1,1,1,0.3989999999997672
2,0,0,1,0.828
2,0,0,1,0.7510000000002328
2,0,1,0,0.8609999999997672
2,0,0,1,0.55
2,0,1,1,0.52
2,0,1,0,0.49200000000023275
2,0,0,1,0.347
2,0,0,0,0.5740000000002329
2,0,0,1,0.524
2,0,0,1,0.471
2,0,1,0,0.5539999999997671
2,0,0,1,0.5299999999997672
2,0,0,1,0.5429999999997672
2,0,1,1,1.764
2,0,1,0,0.382
2,0,1,0,0.409
2,0,1,0,0.619
2,0,1,0,0.444
2,0,0,1,0.26800000000023283
