id,angle,rt,accuracy
4,0,1429,1
4,150,4437,1
4,150,2585,1
4,50,3376,1
4,50,1669,1
4,100,3972,1
4,0,982,1
4,0,1572,1
4,150,2311,0
4,100,3295,1
4,50,1676,1
4,100,2236,1
4,150,2927,0
4,0,1410,1
4,100,2582,1
4,150,2000,1
4,0,1077,1
4,50,1434,1
4,150,1949,1
4,0,2353,1
4,100,3343,1
4,150,1649,1
4,50,1228,1
4,100,2079,1
4,0,1283,1
4,50,3163,1
4,100,2124,1
4,150,3277,1
4,0,908,1
4,0,1004,1
4,100,2104,1
4,50,1011,1
4,150,1569,0
4,50,1258,1
4,150,2800,1
4,100,3494,1
4,150,2989,1
4,100,2223,1
4,0,945,1
4,0,2952,1
4,50,1514,1
4,50,1351,1
4,150,2950,1
4,0,1506,1
4,150,1977,1
4,0,1091,1
4,50,925,1
4,50,1225,1
4,100,5810,1
4,100,2111,1
4,100,1874,1
4,100,1424,1
4,150,3255,1
4,0,2231,0
4,0,2633,1
4,50,1941,1
4,50,1064,1
4,150,1714,0
4,50,3032,1
4,0,929,1
4,150,2776,1
4,50,3187,1
4,100,2653,1
4,0,2254,1
4,150,NA,0
4,100,519,1
4,100,2384,0
4,50,1984,1
4,0,956,1
4,150,3489,0
4,150,2125,1
4,50,1107,1
4,100,1516,1
4,0,2657,1
5,0,1606,1
5,150,2427,1
5,150,1109,1
5,100,1900,1
5,50,1098,1
5,50,1496,1
5,100,1553,0
5,0,970,1
5,150,3402,1
5,150,2196,0
5,50,2350,1
5,0,996,1
5,0,615,1
5,100,4115,1
5,100,902,1
5,50,1734,1
5,100,1132,1
5,150,1108,1
5,50,1345,1
5,50,1092,1
5,100,1397,1
5,0,1224,1
5,0,662,1
5,150,4073,1
5,150,2885,1
5,50,1212,1
5,50,2961,1
5,100,1941,1
5,0,646,1
5,0,705,1
5,150,4399,0
5,100,1939,1
5,50,1655,1
5,100,1648,1
5,150,3991,1
5,0,709,1
5,100,1906,1
5,150,1776,1
5,0,660,1
5,50,769,1
5,150,1545,1
5,0,909,1
5,100,1026,1
5,150,1645,1
5,50,942,1
5,100,981,1
5,0,753,1
5,50,633,1
5,100,1367,1
5,150,1444,1
5,0,1772,1
5,0,743,1
5,100,3296,1
5,50,714,1
5,150,2869,1
5,50,674,1
5,150,2146,0
5,100,1469,1
5,150,1296,1
5,100,1606,1
5,0,767,1
5,0,707,1
5,50,1074,1
5,50,1209,1
5,150,1421,1
5,0,733,1
5,150,1875,1
5,0,640,1
5,50,1166,1
5,50,808,1
5,100,1058,1
5,100,2337,1
5,100,1087,1
5,100,957,1
5,150,960,1
5,0,1168,1
5,0,837,1
5,50,1107,1
5,50,616,1
5,150,1451,1
5,50,2138,0
5,0,895,1
5,150,2249,1
5,50,1129,1
5,100,1349,1
5,0,872,1
5,150,2230,1
5,100,2347,1
5,100,1077,1
5,50,770,1
5,0,962,1
5,150,1242,1
5,150,1352,1
5,50,965,1
5,100,1129,1
5,0,1541,1
6,0,1182,1
6,150,1976,1
6,150,1523,1
6,100,1523,1
6,50,2232,1
6,50,1993,1
6,100,1861,1
6,0,1067,1
6,150,2498,1
6,150,1655,1
6,50,2424,1
6,0,1597,1
6,0,1021,1
6,100,2553,1
6,100,1750,1
6,50,1970,1
6,100,1790,1
6,150,1986,1
6,50,1614,1
6,50,1678,1
6,100,1958,1
6,0,1681,1
6,0,1460,1
6,150,2462,1
6,150,1857,1
6,50,1810,1
6,50,1149,1
6,100,2049,1
6,0,1234,1
6,0,1204,1
6,150,2535,0
6,100,2757,1
6,50,1306,1
6,100,2674,1
6,150,1705,1
6,0,1359,1
6,100,3827,1
6,150,1426,1
6,0,1468,1
6,50,1157,1
6,150,1578,1
6,0,1117,1
6,100,1678,1
6,150,1612,0
6,50,1032,1
6,100,1487,1
6,0,1127,1
6,50,1878,1
6,100,1516,1
6,150,1359,1
6,0,1041,1
6,0,1099,1
6,100,1594,1
6,50,1234,1
6,150,1958,1
6,50,1498,1
6,150,1360,1
6,100,2405,0
6,150,1928,1
6,100,1493,0
6,0,906,1
6,0,1907,1
6,50,1270,1
6,50,1078,1
6,150,1488,1
6,0,1016,1
6,150,1272,1
6,0,936,1
6,50,1471,1
6,50,1086,1
6,100,1415,1
6,100,2472,0
6,100,1047,1
6,100,1089,1
6,150,2343,1
6,0,1734,1
6,0,1435,1
6,50,1845,0
6,50,1051,1
6,150,2309,1
6,50,1838,1
6,0,845,1
6,150,1296,1
6,50,2126,1
6,100,1476,1
6,0,1291,1
6,150,2337,1
6,100,1207,1
6,100,2235,1
6,50,1060,1
6,0,852,1
6,150,1403,1
6,150,894,1
6,50,1061,1
6,100,1168,1
6,0,1354,1
7,0,1764,1
7,150,1998,1
7,150,2377,1
7,100,4865,1
7,50,3612,1
7,50,1884,1
7,100,2830,0
7,0,1526,1
7,150,2940,1
7,150,3888,1
7,50,NA,0
7,0,2554,1
7,0,1524,1
7,100,3677,1
7,100,1771,1
7,50,2375,1
7,100,2115,1
7,150,2472,1
7,50,2234,1
7,50,1884,1
7,100,2323,1
7,0,3417,1
7,0,1440,1
7,150,3749,1
7,150,2527,1
7,50,2445,1
7,50,1971,1
7,100,3757,1
7,0,1498,1
7,0,1735,1
7,150,4407,1
7,100,1651,1
7,50,1858,1
7,100,2339,1
7,150,3370,1
7,0,1431,1
7,100,2127,1
7,150,2539,1
7,0,1408,1
7,50,1956,1
7,150,2280,1
7,0,3423,1
7,100,3050,1
7,150,1517,0
7,50,1595,1
7,100,4173,1
7,0,1040,1
7,50,1802,1
7,100,1716,1
7,150,3007,1
7,0,1263,1
7,0,1160,1
7,100,1680,0
7,50,1339,1
7,150,4146,1
7,50,1070,1
7,150,2062,1
7,100,2919,1
7,150,1477,1
7,100,3437,1
7,0,1037,1
7,0,2047,1
7,50,1791,1
7,50,1363,1
7,150,2064,1
7,0,1200,1
7,150,2026,1
7,0,1667,1
7,50,1446,1
7,50,901,1
7,100,1460,1
7,100,4853,1
7,100,1752,1
7,100,1561,1
7,150,2841,1
7,0,3062,1
7,0,1577,1
7,50,5429,1
7,50,1493,1
7,150,2324,0
7,50,2370,0
7,0,1727,1
7,150,2525,1
7,50,1305,1
7,100,1767,1
7,0,4213,1
7,150,3191,1
7,100,3115,1
7,100,3291,1
7,50,1296,1
7,0,839,1
7,150,3512,0
7,150,4780,1
7,50,1233,1
7,100,1318,1
7,0,3019,1
8,0,2652,1
8,150,5529,1
8,150,3081,1
8,100,5655,1
8,50,3225,1
8,50,2634,1
8,100,6214,1
8,0,2234,1
8,150,NA,0
8,150,2865,1
8,50,3664,1
8,0,2100,1
8,0,1374,1
8,100,6694,0
8,100,4362,1
8,50,2928,1
8,100,2527,1
8,150,2067,1
8,50,2182,1
8,50,2095,1
8,100,2592,1
8,0,1999,1
8,0,1786,1
8,150,5088,1
8,150,2269,1
8,50,3333,1
8,50,1798,1
8,100,5351,1
8,0,3111,1
8,0,2233,1
8,150,4083,1
8,100,2052,1
8,50,2500,1
8,100,2931,1
8,150,4050,1
8,0,1436,1
8,100,5165,1
8,150,2662,1
8,0,1369,1
8,50,2498,1
8,150,4047,1
8,0,1410,1
8,100,2915,1
8,150,1810,1
8,50,2461,1
8,100,2031,1
8,0,1975,1
8,50,2585,0
8,100,2330,0
8,150,2552,1
8,0,1321,1
8,0,2991,1
8,100,3386,1
8,50,1237,1
8,150,6640,1
8,50,1939,1
8,150,2291,1
8,100,2499,1
8,150,2898,1
8,100,1909,0
8,0,2231,1
8,0,1416,1
8,50,1993,1
8,50,2077,1
8,150,3281,1
8,0,2198,1
8,150,3183,1
8,0,1499,1
8,50,5749,0
8,50,2647,1
8,100,2520,1
8,100,3248,1
8,100,2500,1
8,100,2199,1
8,150,3289,1
8,0,3831,1
8,0,2938,1
8,50,3333,1
8,50,1074,1
8,150,2660,1
8,50,3772,1
8,0,1510,1
8,150,3478,1
8,50,1861,1
8,100,2999,1
8,0,2133,1
8,150,3396,1
8,100,3232,1
8,100,1756,1
8,50,2760,1
8,0,1291,1
8,150,3674,1
8,150,2017,1
8,50,2607,1
8,100,1983,1
8,0,2225,1
9,0,1757,1
9,150,3883,0
9,150,3018,1
9,100,3122,1
9,50,4211,1
9,50,2005,1
9,100,4070,1
9,0,2414,1
9,150,7290,0
9,150,NA,0
9,50,3079,1
9,0,1368,1
9,0,1018,1
9,100,3807,1
9,100,4663,1
9,50,2793,1
9,100,3725,0
9,150,3145,0
9,50,3000,0
9,50,2755,1
9,100,2126,1
9,0,1922,1
9,0,3230,1
9,150,3820,1
9,150,1981,1
9,50,1574,1
9,50,2866,1
9,100,3838,1
9,0,1436,1
9,0,1142,1
9,150,6863,1
9,100,2586,1
9,50,2621,1
9,100,4058,0
9,150,5018,1
9,0,1329,1
9,100,5083,1
9,150,1550,1
9,0,1341,1
9,50,1170,1
9,150,6241,1
9,0,1736,1
9,100,4651,1
9,150,3150,1
9,50,1900,1
9,100,3081,1
9,0,1449,1
9,50,2009,1
9,100,2210,1
9,150,1833,0
9,0,1745,1
9,0,1406,1
9,100,2155,1
9,50,805,1
9,150,2459,0
9,50,1033,1
9,150,1028,1
9,100,2308,1
9,150,1624,1
9,100,2323,1
9,0,854,0
9,0,929,1
9,50,1912,1
9,50,1171,1
9,150,1921,1
9,0,1613,1
9,150,2665,1
9,0,1258,1
9,50,1499,1
9,50,1341,1
9,100,1380,1
9,100,2025,1
9,100,1571,1
9,100,2007,1
9,150,3809,1
9,0,2051,1
9,0,1289,1
9,50,3338,1
9,50,880,1
9,150,2622,0
9,50,3782,1
9,0,875,1
9,150,2205,1
9,50,3078,1
9,100,2909,1
9,0,3410,1
9,150,3039,0
9,100,1800,1
9,100,3788,1
9,50,1268,1
9,0,892,1
9,150,4926,1
9,150,4513,1
9,50,950,1
9,100,2160,1
9,0,1288,1
10,0,4567,1
10,150,5246,1
10,150,4245,1
10,100,NA,0
10,50,3330,1
10,50,4149,1
10,100,5204,1
10,0,2053,1
10,150,6096,1
10,150,4040,1
10,50,6200,1
10,0,3390,1
10,0,1526,1
10,100,6317,1
10,100,6700,0
10,50,2691,0
10,100,5274,1
10,150,5795,1
10,50,6656,1
10,50,4448,1
10,100,3902,1
10,0,2653,0
10,0,2451,1
10,150,5696,0
10,150,3757,1
10,50,3410,1
10,50,3877,1
10,100,5754,1
10,0,1855,1
10,0,7201,1
10,150,4812,1
10,100,4817,1
10,50,6411,1
10,100,4830,0
10,150,5208,1
10,0,2202,1
10,100,4678,0
10,150,NA,0
10,0,1998,1
10,50,1966,1
10,150,5667,1
10,0,3485,1
10,100,4498,1
10,150,NA,0
10,50,18,0
10,100,3352,1
10,0,1690,1
10,50,4015,1
10,100,5102,1
10,150,6096,0
10,0,1725,1
10,0,2443,1
10,100,5549,1
10,50,2690,1
10,150,NA,0
10,50,2601,1
10,150,1268,1
10,100,4229,1
10,150,4593,1
10,100,6090,1
10,0,1231,1
10,0,2186,1
10,50,2276,1
10,50,2387,1
10,150,4073,1
10,0,2629,1
10,150,1438,0
10,0,3075,1
10,50,5308,1
10,50,1887,1
10,100,4852,1
10,100,5353,1
10,100,4650,1
10,100,2430,1
10,150,6696,1
10,0,NA,0
10,0,2682,1
10,50,3641,1
10,50,4637,1
10,150,7465,1
10,50,6556,0
10,0,1569,1
10,150,6205,0
10,50,2910,1
10,100,3878,0
10,0,4397,1
10,150,4298,0
10,100,1638,1
10,100,4594,1
10,50,4117,1
10,0,1275,1
10,150,4888,1
10,150,NA,0
10,50,4217,1
10,100,6014,0
10,0,5758,1
11,0,NA,0
11,150,4796,1
11,150,5909,0
11,100,7448,1
11,50,NA,0
11,50,NA,0
11,100,4236,0
11,0,2351,1
11,150,3185,1
11,150,NA,0
11,50,NA,0
11,0,6642,1
11,0,2028,1
11,100,7049,1
11,100,NA,0
11,50,5241,1
11,100,NA,0
11,150,5347,1
11,50,7366,1
11,50,3909,1
11,100,5312,1
11,0,2790,1
11,0,4633,1
11,150,4996,1
11,150,4607,1
11,50,NA,0
11,50,6325,1
11,100,5672,0
11,0,1830,1
11,0,6673,1
11,150,7128,0
11,100,NA,0
11,50,NA,0
11,100,NA,0
11,150,6354,1
11,0,5211,1
11,100,6319,1
11,150,3228,1
11,0,2632,1
11,50,2650,0
11,150,3038,0
11,0,6116,1
11,100,3232,0
11,150,4245,1
11,50,6151,1
11,100,4996,1
11,0,1707,1
11,50,3805,1
11,100,3521,1
11,150,3061,1
11,0,1314,1
11,0,3463,1
11,100,4020,1
11,50,3545,1
11,150,5563,1
11,50,1975,1
11,150,4354,1
11,100,5063,0
11,150,3393,1
11,100,5322,1
11,0,2199,1
11,0,6133,1
11,50,6360,1
11,50,4189,1
11,150,5593,1
11,0,1436,1
11,150,4597,0
11,0,5605,1
11,50,5358,0
11,50,3232,1
11,100,2946,1
11,100,5199,1
11,100,4348,1
11,100,4528,1
11,150,4198,0
11,0,5753,1
11,0,3854,1
11,50,4181,1
11,50,5574,1
11,150,6655,0
11,50,4933,1
11,0,1590,1
11,150,5103,1
11,50,5254,1
11,100,4240,1
11,0,2409,1
11,150,3980,0
11,100,2952,0
11,100,5197,1
11,50,4078,1
11,0,1176,1
11,150,5654,0
11,150,4643,1
11,50,4031,1
11,100,3328,1
11,0,4020,1
12,0,3644,1
12,150,7243,1
12,150,1846,1
12,100,1835,1
12,50,1557,1
12,50,1720,1
12,100,6427,0
12,0,1174,1
12,150,3911,1
12,150,3648,1
12,50,1491,0
12,0,1290,1
12,0,855,1
12,100,3528,1
12,100,3039,1
12,50,1711,1
12,100,NA,0
12,150,NA,0
12,50,5811,1
12,50,1193,1
12,100,3356,1
12,0,1433,1
12,0,1034,1
12,150,1799,0
12,150,2462,1
12,50,1540,1
12,50,2262,1
12,100,2247,1
12,0,875,1
12,0,1232,1
12,150,2214,1
12,100,1982,1
12,50,2195,1
12,100,2061,1
12,150,2911,1
12,0,1846,1
12,100,2382,1
12,150,2490,1
12,0,1752,1
12,50,2547,1
12,150,3371,1
12,0,974,1
12,100,2432,1
12,150,2607,1
12,50,1318,1
12,100,1780,1
12,0,797,1
12,50,1354,1
12,100,1548,1
12,150,2029,1
12,0,849,1
12,0,1199,1
12,100,2350,1
12,50,1248,1
12,150,2216,1
12,50,1602,1
12,150,1711,1
12,100,2365,1
12,150,1202,1
12,100,2124,1
12,0,960,1
12,0,919,1
12,50,1212,1
12,50,1421,1
12,150,2326,1
12,0,1229,1
12,150,2415,1
12,0,1164,1
12,50,1720,1
12,50,1098,1
12,100,1695,1
12,100,1937,1
12,100,1869,1
12,100,3374,1
12,150,2371,1
12,0,1177,1
12,0,807,1
12,50,823,1
12,50,883,1
12,150,3303,0
12,50,3484,1
12,0,748,1
12,150,2266,1
12,50,1665,1
12,100,1856,1
12,0,1615,1
12,150,1811,1
12,100,1693,1
12,100,2172,1
12,50,1023,1
12,0,642,1
12,150,3224,1
12,150,5521,1
12,50,1543,1
12,100,1103,0
12,0,1810,1
13,0,2045,1
13,150,2964,1
13,150,1985,1
13,100,2701,1
13,50,2771,1
13,50,1743,1
13,100,2318,0
13,0,1199,1
13,150,3230,1
13,150,3615,1
13,50,2954,1
13,0,1249,1
13,0,1351,1
13,100,4693,1
13,100,4354,1
13,50,2799,1
13,100,1909,1
13,150,2252,1
13,50,2077,1
13,50,2016,1
13,100,2164,1
13,0,1088,0
13,0,2585,1
13,150,2229,1
13,150,4013,1
13,50,4880,1
